Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Description,Weapon_Used_Code,Status,Status_Description,Crime_Category,is_anomaly
11700 COHASSET ST,34.2067,-118.3878,9/9/2020 0:00,9/9/2020 0:00,2000,15,N Hollywood,1504,2,0,M,O,STREET,102,IC,Invest Cont,Crimes against Public Order,1
700 W 133RD ST,33.9113,-118.2878,9/10/2020 0:00,9/10/2020 0:00,1,18,Southeast,1851,1,44,F,B,SINGLE FAMILY DWELLING,104,AA,Adult Arrest,Crimes against Public Order,1
4TH ST,34.0672,-118.2992,9/12/2020 0:00,9/12/2020 0:00,1550,20,Olympic,2025,2,26,X,X,STREET,511,IC,Invest Cont,Crimes against Public Order,1
14500 VALERIO ST,34.2048,-118.4495,9/14/2020 0:00,9/13/2020 0:00,2215,9,Van Nuys,905,1,56,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",223,AA,Adult Arrest,Crimes against Persons,1
2900 E 4TH ST,34.0373,-118.2044,9/15/2020 0:00,9/15/2020 0:00,1630,4,Hollenbeck,467,1,0,X,X,OTHER STORE,218,IC,Invest Cont,Property Crimes,1
13400 BROMWICH PL,34.2382,-118.4256,9/16/2020 0:00,5/8/2020 0:00,42,19,Mission,1977,1,35,F,A,STREET,307,AA,Adult Arrest,Violent Crimes,1
6TH,34.0435,-118.2471,9/17/2020 0:00,9/16/2020 0:00,2049,1,Central,166,1,0,M,X,SIDEWALK,500,IC,Invest Cont,Violent Crimes,1
1500 COLORADO BL,34.1393,-118.1985,9/17/2020 0:00,9/17/2020 0:00,248,11,Northeast,1119,2,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
2000 W PICO BL,34.0491,-118.2823,9/17/2020 0:00,9/17/2020 0:00,1855,2,Rampart,281,1,0,X,X,CLOTHING STORE,216,AA,Adult Arrest,Property Crimes,1
7800 VAN NUYS BL,34.2117,-118.4488,9/18/2020 0:00,9/18/2020 0:00,1820,19,Mission,1995,1,22,X,X,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",400,AO,Adult Other,Property Crimes,1
2100 E 112TH ST,33.9334,-118.235,9/18/2020 0:00,9/18/2020 0:00,2320,18,Southeast,1849,2,0,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
900 N WESTERN AV,33.7501,-118.3092,9/18/2020 0:00,9/18/2020 0:00,1810,5,Harbor,541,1,0,X,X,DRUG STORE,200,IC,Invest Cont,Property Crimes,1
1600 W 38TH ST,34.0174,-118.311,9/19/2020 0:00,9/19/2020 0:00,920,3,Southwest,375,2,19,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
6900 DAY ST,34.2539,-118.2814,9/20/2020 0:00,9/19/2020 0:00,1100,16,Foothill,1658,1,73,M,O,SINGLE FAMILY DWELLING,205,AA,Adult Arrest,Violent Crimes,1
COLDWATER CANYON,34.1721,-118.4142,9/22/2020 0:00,9/19/2020 0:00,1,9,Van Nuys,939,1,25,M,O,STREET,500,IC,Invest Cont,Property Crimes,1
300 S SANTA FE AV,34.042,-118.2326,9/22/2020 0:00,9/22/2020 0:00,800,1,Central,139,2,0,X,X,SIDEWALK,400,IC,Invest Cont,Property Crimes,1
CENTRAL,34.0286,-118.2545,9/25/2020 0:00,9/25/2020 0:00,2344,13,Newton,1313,2,0,X,X,OTHER/OUTSIDE,500,IC,Invest Cont,Property Crimes,1
LOS ANGELES,34.0511,-118.2336,9/25/2020 0:00,9/25/2020 0:00,2015,1,Central,129,2,0,X,X,STREET,400,IC,Invest Cont,Property Crimes,1
59TH ST,33.9923,-118.287,9/25/2020 0:00,9/25/2020 0:00,2030,12,77th Street,1218,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
4TH ST,34.0671,-118.3259,9/27/2020 0:00,9/27/2020 0:00,40,7,Wilshire,739,1,52,M,A,SIDEWALK,101,IC,Invest Cont,Property Crimes,1
4100 VENICE BL,34.044,-118.3264,9/27/2020 0:00,9/27/2020 0:00,1945,7,Wilshire,778,2,0,M,O,STREET,102,IC,Invest Cont,Crimes against Public Order,1
3200 CAHUENGA BL,34.1283,-118.346,9/28/2020 0:00,9/28/2020 0:00,514,6,Hollywood,615,2,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
14TH ST,34.0355,-118.2625,9/28/2020 0:00,9/28/2020 0:00,120,1,Central,195,2,0,X,X,"VEHICLE, PASSENGER/TRUCK",500,AA,Adult Arrest,Property Crimes,1
500 CHAUTAUQUA BL,34.0361,-118.5192,9/29/2020 0:00,9/28/2020 0:00,2200,8,West LA,824,1,83,F,A,GARAGE/CARPORT,500,IC,Invest Cont,Property Crimes,1
10600 S ST ANDREWS PL,33.9417,-118.3113,9/30/2020 0:00,9/30/2020 0:00,2320,12,77th Street,1293,1,79,F,B,SINGLE FAMILY DWELLING,102,IC,Invest Cont,Crimes against Public Order,1
FLOWER ST,33.979,-118.2839,10/2/2020 0:00,10/2/2020 0:00,1356,12,77th Street,1249,1,0,X,X,STREET,102,IC,Invest Cont,Violent Crimes,1
WINSTON ST,34.0457,-118.2457,10/6/2020 0:00,10/6/2020 0:00,30,1,Central,146,1,0,M,W,MINI-MART,312,AA,Adult Arrest,Property Crimes,1
FLIGHT DECK,34.0577,-118.2318,10/7/2020 0:00,8/22/2020 0:00,215,1,Central,119,2,0,X,X,OTHER PREMISE,500,IC,Invest Cont,Crimes against Public Order,1
4700 AUGUST ST,34.0173,-118.3505,10/7/2020 0:00,10/7/2020 0:00,10,3,Southwest,361,2,65,M,O,"VEHICLE, PASSENGER/TRUCK",400,AA,Adult Arrest,Property Crimes,1
96TH ST,33.949,-118.2462,10/8/2020 0:00,10/8/2020 0:00,1945,18,Southeast,1826,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
FIGUEROA ST,34.0419,-118.2669,10/11/2020 0:00,10/11/2020 0:00,2107,1,Central,182,1,0,X,X,STREET,212,IC,Invest Cont,Violent Crimes,1
MONA BL,33.9334,-118.2304,10/11/2020 0:00,10/11/2020 0:00,220,18,Southeast,1849,1,36,X,X,STREET,102,IC,Invest Cont,Violent Crimes,1
3100 WILSHIRE BL,34.0652,-118.2878,10/12/2020 0:00,10/10/2020 0:00,1355,20,Olympic,2029,1,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
400 E FLORENCE AV,33.9784,-118.263,10/14/2020 0:00,10/14/2020 0:00,1600,13,Newton,1395,1,0,X,X,CELL PHONE STORE,109,IC,Invest Cont,Property Crimes,1
1300 W 37TH PL,34.02,-118.2977,10/15/2020 0:00,2/27/2020 0:00,2300,3,Southwest,357,1,26,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes,1
22200 DEL VALLE ST,34.1668,-118.6104,10/15/2020 0:00,10/13/2020 0:00,2000,21,Topanga,2185,2,74,M,A,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Violent Crimes,1
20100 VANOWEN ST,34.1938,-118.5719,10/15/2020 0:00,10/15/2020 0:00,235,21,Topanga,2148,1,35,M,X,HOTEL,109,AA,Adult Arrest,Violent Crimes,1
1600 N LAUREL AV,34.0999,-118.3643,10/16/2020 0:00,10/14/2020 0:00,300,6,Hollywood,632,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,IC,Invest Cont,Property Crimes,1
S 6TH,34.0466,-118.252,10/17/2020 0:00,10/17/2020 0:00,1625,1,Central,153,2,0,X,X,STREET,500,AA,Adult Arrest,Other Crimes,1
4100 ARCH DR,34.1417,-118.3719,10/17/2020 0:00,10/17/2020 0:00,115,15,N Hollywood,1585,1,34,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,IC,Invest Cont,Crimes against Public Order,1
1100 S VERMONT AV,34.0499,-118.2879,10/19/2020 0:00,10/19/2020 0:00,1650,20,Olympic,2069,2,0,X,X,POLICE FACILITY,400,IC,Invest Cont,Violent Crimes,1
2400 W OLYMPIC BL,34.0524,-118.2837,10/21/2020 0:00,10/21/2020 0:00,5,2,Rampart,271,1,0,M,O,TRASH CAN/TRASH DUMPSTER,506,IC,Invest Cont,Property Crimes,1
4600 ABARGO ST,34.1539,-118.5905,10/22/2020 0:00,10/21/2020 0:00,930,21,Topanga,2196,2,50,M,X,SINGLE FAMILY DWELLING,106,IC,Invest Cont,Crimes against Public Order,1
65TH PL,33.9798,-118.2959,10/23/2020 0:00,10/23/2020 0:00,1835,12,77th Street,1245,2,0,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
23100 VOSE ST,34.1979,-118.6307,10/25/2020 0:00,10/25/2020 0:00,1050,21,Topanga,2133,1,89,F,W,SINGLE FAMILY DWELLING,200,AA,Adult Arrest,Violent Crimes,1
GRANT ST,33.7835,-118.277,10/26/2020 0:00,10/25/2020 0:00,2200,5,Harbor,514,2,0,X,X,SIDEWALK,106,IC,Invest Cont,Crimes against Public Order,1
4600 W MARTIN LUTHER KING JR BL,34.0195,-118.3489,10/26/2020 0:00,10/26/2020 0:00,2005,3,Southwest,362,2,19,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",106,IC,Invest Cont,Crimes against Public Order,1
8300 BEVERLY BL,34.0782,-118.3695,10/27/2020 0:00,10/26/2020 0:00,2220,7,Wilshire,711,1,0,M,O,ALLEY,500,IC,Invest Cont,Property Crimes,1
8TH ST,34.0476,-118.2612,10/27/2020 0:00,10/27/2020 0:00,2300,1,Central,162,2,0,X,X,"VEHICLE, PASSENGER/TRUCK",500,IC,Invest Cont,Property Crimes,1
1500 W WASHINGTON BL,34.04,-118.2906,10/28/2020 0:00,10/22/2020 0:00,1603,20,Olympic,2099,2,0,X,X,HIGH SCHOOL,511,IC,Invest Cont,Crimes against Public Order,1
800 S FLOWER ST,34.0468,-118.2605,10/28/2020 0:00,10/28/2020 0:00,1,1,Central,162,1,0,X,X,RESTAURANT/FAST FOOD,500,IC,Invest Cont,Property Crimes,1
2700 S PALM GROVE AV,34.0313,-118.3457,10/29/2020 0:00,10/29/2020 0:00,1,3,Southwest,331,2,19,X,X,SIDEWALK,102,IC,Invest Cont,Crimes against Public Order,1
13000 PACIFIC,33.9727,-118.4237,10/30/2020 0:00,10/25/2020 0:00,2315,14,Pacific,1464,1,60,M,O,GARAGE/CARPORT,500,IC,Invest Cont,Property Crimes,1
4000 CRENSHAW BL,34.0126,-118.3403,10/30/2020 0:00,10/30/2020 0:00,1400,3,Southwest,363,2,19,X,X,DEPARTMENT STORE,500,IC,Invest Cont,Property Crimes,1
2700 WILSHIRE BL,34.0609,-118.2823,11/1/2020 0:00,10/30/2020 0:00,600,2,Rampart,251,1,0,X,X,WAREHOUSE,500,IC,Invest Cont,Property Crimes,1
3100 W PICO BL,34.0506,-118.3127,11/1/2020 0:00,11/1/2020 0:00,930,20,Olympic,2062,1,0,X,X,OTHER BUSINESS,400,IC,Invest Cont,Property Crimes,1
8800 TOBIAS AV,34.2299,-118.4517,11/1/2020 0:00,11/1/2020 0:00,50,19,Mission,1985,2,51,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes,1
1000 S HILL ST,34.0402,-118.2598,11/2/2020 0:00,11/2/2020 0:00,20,1,Central,185,1,0,X,X,OTHER PREMISE,400,AO,Adult Other,Property Crimes,1
1600 N HOBART BL,34.1,-118.3056,11/2/2020 0:00,11/2/2020 0:00,200,6,Hollywood,649,1,53,M,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205,IC,Invest Cont,Crimes against Public Order,1
1700 N LA BREA AV,34.1016,-118.3452,11/3/2020 0:00,11/3/2020 0:00,2005,6,Hollywood,645,2,0,X,X,MOTEL,306,IC,Invest Cont,Property Crimes,1
SUNSET BL,34.0812,-118.252,11/4/2020 0:00,10/27/2020 0:00,2030,11,Northeast,1184,1,0,X,X,STREET,212,IC,Invest Cont,Violent Crimes,1
900 W TEMPLE ST,34.0607,-118.2494,11/4/2020 0:00,11/3/2020 0:00,2232,1,Central,121,1,26,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,IC,Invest Cont,Property Crimes,1
1200 VINE ST,34.0926,-118.3266,11/4/2020 0:00,11/4/2020 0:00,1,6,Hollywood,666,1,0,X,X,DRUG STORE,500,IC,Invest Cont,Property Crimes,1
23RD,33.7234,-118.299,11/5/2020 0:00,11/5/2020 0:00,2020,5,Harbor,585,2,0,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
3400 WILSHIRE BL,34.0618,-118.2975,11/6/2020 0:00,11/6/2020 0:00,1640,20,Olympic,2035,1,0,X,X,CELL PHONE STORE,205,AO,Adult Other,Property Crimes,1
1300 W 29TH ST,34.0307,-118.2923,11/6/2020 0:00,11/6/2020 0:00,1235,3,Southwest,325,1,19,X,X,DRUG STORE,102,AA,Adult Arrest,Property Crimes,1
600 ISLAND AV,33.7769,-118.2662,11/7/2020 0:00,11/7/2020 0:00,1,5,Harbor,526,1,50,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,IC,Invest Cont,Crimes against Public Order,1
600 S RAMPART BL,34.0619,-118.2817,11/10/2020 0:00,11/10/2020 0:00,100,2,Rampart,251,2,0,X,X,MINI-MART,400,IC,Invest Cont,Property Crimes,1
16TH ST,34.0266,-118.2491,11/11/2020 0:00,11/11/2020 0:00,1908,13,Newton,1313,1,40,F,O,STREET,106,IC,Invest Cont,Violent Crimes,1
3300 DREW ST,34.1199,-118.2431,11/13/2020 0:00,11/13/2020 0:00,1310,11,Northeast,1124,2,0,X,X,STREET,109,IC,Invest Cont,Crimes against Public Order,1
RONALD REAGA FY,34.2609,-118.5346,11/14/2020 0:00,11/14/2020 0:00,830,17,Devonshire,1743,1,0,X,X,GAS STATION,515,AA,Adult Arrest,Property Crimes,1
4100 S VERMONT AV,34.0073,-118.298,11/18/2020 0:00,11/17/2020 0:00,1700,3,Southwest,397,1,19,X,X,HIGH SCHOOL,106,IC,Invest Cont,Crimes against Public Order,1
2100 W JEFFERSON BL,34.0255,-118.318,11/18/2020 0:00,11/18/2020 0:00,615,3,Southwest,354,2,19,X,X,OTHER BUSINESS,306,AO,Adult Other,Property Crimes,1
11000 W PICO BL,34.0383,-118.4325,11/21/2020 0:00,11/20/2020 0:00,2130,8,West LA,884,2,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
1100 S OLIVE ST,34.04,-118.2617,11/21/2020 0:00,11/21/2020 0:00,600,1,Central,182,2,0,X,X,OTHER BUSINESS,500,AA,Adult Arrest,Property Crimes,1
15300 S VERMONT AV,33.8919,-118.2917,11/23/2020 0:00,11/23/2020 0:00,2245,18,Southeast,1881,2,0,X,X,GAS STATION,306,IC,Invest Cont,Property Crimes,1
VERNON AV,34.0037,-118.3149,11/23/2020 0:00,11/23/2020 0:00,2100,12,77th Street,1203,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
900 N WILMINGTON BL,33.7897,-118.2787,11/26/2020 0:00,11/26/2020 0:00,1235,5,Harbor,514,1,80,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,IC,Invest Cont,Crimes against Public Order,1
300 CULVER BL,33.9596,-118.4476,11/26/2020 0:00,11/26/2020 0:00,800,14,Pacific,1472,1,66,F,A,PARKING LOT,500,IC,Invest Cont,Property Crimes,1
500 S BROADWAY,34.0474,-118.2513,11/28/2020 0:00,11/28/2020 0:00,1205,1,Central,153,2,39,X,X,JEWELRY STORE,400,IC,Invest Cont,Violent Crimes,1
2400 W PICO BL,34.0473,-118.2899,11/28/2020 0:00,11/28/2020 0:00,1655,20,Olympic,2079,1,0,X,X,CLOTHING STORE,400,AO,Adult Other,Property Crimes,1
2600 ORCHARD AV,34.0303,-118.2874,11/29/2020 0:00,11/29/2020 0:00,1425,3,Southwest,327,2,19,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",312,AO,Adult Other,Property Crimes,1
13200 WARREN AV,34.0096,-118.4537,11/30/2020 0:00,11/30/2020 0:00,1915,14,Pacific,1416,1,65,F,A,STREET,106,JA,Juv Arrest,Property Crimes,1
10300 MASON AV,34.2573,-118.5798,12/1/2020 0:00,12/1/2020 0:00,2010,17,Devonshire,1723,1,0,X,X,MARKET,102,AA,Adult Arrest,Property Crimes,1
1ST ST,34.057,-118.2437,12/2/2020 0:00,12/2/2020 0:00,15,1,Central,112,1,0,X,X,STREET,500,AA,Adult Arrest,Property Crimes,1
9500 MOONRIDGE TERRACE PL,34.123,-118.4022,12/3/2020 0:00,11/29/2020 0:00,1400,8,West LA,809,1,60,F,O,SINGLE FAMILY DWELLING,500,IC,Invest Cont,Property Crimes,1
1500 N DETROIT ST,34.098,-118.3456,12/3/2020 0:00,12/3/2020 0:00,1225,6,Hollywood,643,2,0,X,X,STREET,311,IC,Invest Cont,Property Crimes,1
SANTA MONICA,34.0908,-118.319,12/3/2020 0:00,12/3/2020 0:00,45,6,Hollywood,667,1,27,M,O,SIDEWALK,207,IC,Invest Cont,Violent Crimes,1
13300 RIVERSIDE DR,34.1576,-118.4231,12/4/2020 0:00,12/3/2020 0:00,2325,9,Van Nuys,966,2,0,X,X,DRUG STORE,514,IC,Invest Cont,Property Crimes,1
5500 W SUNSET BL,34.1,-118.3113,12/4/2020 0:00,12/4/2020 0:00,1950,6,Hollywood,648,2,0,X,X,RESTAURANT/FAST FOOD,400,IC,Invest Cont,Property Crimes,1
200 N VIRGIL AV,34.0754,-118.2868,12/5/2020 0:00,12/3/2020 0:00,2230,20,Olympic,2019,1,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
7TH ST,34.0395,-118.2451,12/5/2020 0:00,12/4/2020 0:00,2238,13,Newton,1307,2,0,M,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
4000 DALTON AV,34.0103,-118.3034,12/8/2020 0:00,12/8/2020 0:00,2030,3,Southwest,397,1,19,X,X,STREET,102,AA,Adult Arrest,Violent Crimes,1
WESTERN,34.0981,-118.3092,12/8/2020 0:00,12/8/2020 0:00,1355,6,Hollywood,668,1,0,X,X,OTHER BUSINESS,105,AA,Adult Arrest,Property Crimes,1
3300 W OLYMPIC BL,34.0526,-118.3091,12/9/2020 0:00,12/9/2020 0:00,1330,20,Olympic,2062,1,69,F,O,BUS STOP/LAYOVER (ALSO QUERY 124),400,IC,Invest Cont,Property Crimes,1
4000 S WESTERN AV,34.0104,-118.3089,12/10/2020 0:00,12/10/2020 0:00,1735,3,Southwest,395,1,19,X,X,DRUG STORE,207,IC,Invest Cont,Property Crimes,1
CLINTON,34.0851,-118.2881,12/10/2020 0:00,12/10/2020 0:00,1730,2,Rampart,203,2,0,X,X,STREET,109,AA,Adult Arrest,Crimes against Public Order,1
NORMAL,34.0873,-118.296,12/12/2020 0:00,12/12/2020 0:00,445,2,Rampart,201,2,77,M,A,STREET,400,AA,Adult Arrest,Violent Crimes,1
2400 W OLYMPIC BL,34.0524,-118.2837,12/14/2020 0:00,12/14/2020 0:00,1445,2,Rampart,271,1,47,F,O,AUTO REPAIR SHOP,102,IC,Invest Cont,Property Crimes,1
3100 WILSHIRE BL,34.0618,-118.2894,12/14/2020 0:00,12/14/2020 0:00,2150,20,Olympic,2038,1,24,M,O,PARKING LOT,102,IC,Invest Cont,Property Crimes,1
2600 E 1ST ST,34.0421,-118.206,12/14/2020 0:00,12/14/2020 0:00,421,4,Hollenbeck,467,2,0,X,X,POLICE FACILITY,511,IC,Invest Cont,Crimes against Public Order,1
10300 S WESTERN AV,33.9418,-118.309,12/15/2020 0:00,12/15/2020 0:00,2015,12,77th Street,1283,1,40,X,X,AUTO REPAIR SHOP,102,IC,Invest Cont,Violent Crimes,1
600 S SPRING ST,34.0445,-118.2523,12/18/2020 0:00,12/18/2020 0:00,820,1,Central,164,1,0,X,X,MARKET,400,IC,Invest Cont,Property Crimes,1
8900 S CENTRAL AV,33.9547,-118.2564,12/18/2020 0:00,12/18/2020 0:00,2300,18,Southeast,1806,2,0,X,X,SIDEWALK,400,IC,Invest Cont,Violent Crimes,1
5700 HOLLYWOOD BL,34.1038,-118.3151,12/18/2020 0:00,12/18/2020 0:00,430,6,Hollywood,638,1,0,X,X,MINI-MART,200,AA,Adult Arrest,Property Crimes,1
1300 W 8TH ST,34.0502,-118.2691,12/18/2020 0:00,12/18/2020 0:00,1552,2,Rampart,269,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,IC,Invest Cont,Property Crimes,1
98TH ST,33.9471,-118.287,12/20/2020 0:00,12/20/2020 0:00,1623,18,Southeast,1821,2,0,X,X,STREET,109,IC,Invest Cont,Crimes against Public Order,1
600 E CENTURY BL,33.9456,-118.2652,12/21/2020 0:00,12/20/2020 0:00,2000,18,Southeast,1824,1,0,X,X,TOBACCO SHOP,500,IC,Invest Cont,Property Crimes,1
2ND,33.7424,-118.2836,12/22/2020 0:00,12/22/2020 0:00,1950,5,Harbor,564,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
1300 N LA BREA AV,34.0962,-118.349,12/23/2020 0:00,12/23/2020 0:00,1940,6,Hollywood,644,1,0,X,X,OTHER BUSINESS,109,AA,Adult Arrest,Property Crimes,1
21900 DEVONSHIRE ST,34.2607,-118.6025,12/24/2020 0:00,12/24/2020 0:00,824,17,Devonshire,1722,1,0,X,X,MINI-MART,511,IC,Invest Cont,Property Crimes,1
100 W MANCHESTER AV,33.9601,-118.2745,12/24/2020 0:00,12/24/2020 0:00,2105,18,Southeast,1802,1,65,F,O,PARKING LOT,400,IC,Invest Cont,Property Crimes,1
1800 W 3RD ST,34.0613,-118.2689,12/25/2020 0:00,12/25/2020 0:00,30,2,Rampart,247,2,0,X,X,LAUNDROMAT,312,AA,Adult Arrest,Property Crimes,1
800 N VERMONT AV,34.0859,-118.2917,12/25/2020 0:00,12/25/2020 0:00,1845,2,Rampart,203,2,0,X,X,RESTAURANT/FAST FOOD,500,IC,Invest Cont,Property Crimes,1
13100 COURBET LN,34.3074,-118.5053,12/26/2020 0:00,12/25/2020 0:00,2235,17,Devonshire,1705,1,29,M,O,STREET,102,IC,Invest Cont,Violent Crimes,1
1700 N HIGHLAND AV,34.1016,-118.3387,12/26/2020 0:00,12/26/2020 0:00,140,6,Hollywood,636,1,21,M,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,IC,Invest Cont,Property Crimes,1
500 W 92ND ST,33.9528,-118.2855,12/26/2020 0:00,12/26/2020 0:00,2220,18,Southeast,1801,2,0,X,X,SINGLE FAMILY DWELLING,106,IC,Invest Cont,Crimes against Public Order,1
VOSE ST,34.1985,-118.4073,12/26/2020 0:00,12/26/2020 0:00,2328,15,N Hollywood,1513,2,0,M,W,STREET,102,IC,Invest Cont,Crimes against Public Order,1
ALAMEDA,34.0564,-118.2374,12/27/2020 0:00,12/27/2020 0:00,145,1,Central,119,1,23,M,O,STREET,307,IC,Invest Cont,Violent Crimes,1
11100 BALBOA BL,34.2757,-118.5144,12/27/2020 0:00,12/27/2020 0:00,819,17,Devonshire,1729,1,0,X,X,DEPARTMENT STORE,511,IC,Invest Cont,Property Crimes,1
BAXTER ST,34.0897,-118.25,12/27/2020 0:00,12/27/2020 0:00,1510,11,Northeast,1173,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
900 N WESTERN AV,34.0888,-118.3124,12/28/2020 0:00,12/28/2020 0:00,2100,6,Hollywood,657,1,0,X,X,TOBACCO SHOP,102,AA,Adult Arrest,Property Crimes,1
600 W 81ST ST,33.9655,-118.2853,12/29/2020 0:00,12/29/2020 0:00,2200,12,77th Street,1266,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
